construct,profile_1,profile_2,cohens_d,abs_cohens_d
PEU,1,4,-1.0835756286704255,1.0835756286704255
PEU,1,5,0.6945408127394721,0.6945408127394721
PEU,1,6,-0.8798860105591926,0.8798860105591926
PEU,2,3,1.0265989704735505,1.0265989704735505
PEU,2,4,0.7494376131484102,0.7494376131484102
PEU,2,5,2.0494535938875433,2.0494535938875433
PEU,2,6,0.6296439405917948,0.6296439405917948
PEU,3,4,-0.4225667798136642,0.4225667798136642
PEU,3,5,1.179193795396537,1.179193795396537
PEU,3,6,-0.34724708270066335,0.34724708270066335
PEU,4,5,1.8022366033492814,1.8022366033492814
PEU,4,6,0.028412347527330226,0.028412347527330226
PEU,5,6,-1.3683699333686488,1.3683699333686488
PO,0,1,1.54211111303265,1.54211111303265
PO,0,2,-0.5536289428490708,0.5536289428490708
PO,0,3,0.5757559877270632,0.5757559877270632
PO,0,4,0.28738758679599247,0.28738758679599247
PO,0,5,1.7524202113807852,1.7524202113807852
PO,0,6,-0.0007703324874402792,0.0007703324874402792
PO,1,2,-2.185118693847432,2.185118693847432
PO,1,3,-0.9607254643504756,0.9607254643504756
PO,1,4,-1.3192834483798828,1.3192834483798828
PO,1,5,0.3665462767753818,0.3665462767753818
PO,1,6,-1.4091995708642668,1.4091995708642668
PO,2,3,1.140601162717804,1.140601162717804
PO,2,4,0.8775602623232057,0.8775602623232057
PO,2,5,2.122783994580254,2.122783994580254
PO,2,6,0.4974891247507781,0.4974891247507781
PO,3,4,-0.30569764186973947,0.30569764186973947
PO,3,5,1.229386257796641,1.229386257796641
PO,3,6,-0.5412840799751637,0.5412840799751637
PO,4,5,1.5473480028025282,1.5473480028025282
PO,4,6,-0.27311568544857,0.27311568544857
PO,5,6,-1.4204125268329866,1.4204125268329866
PRI,0,1,1.8504995932444035,1.8504995932444035
PRI,0,2,-0.9963932426612168,0.9963932426612168
PRI,0,3,0.8819906664381081,0.8819906664381081
PRI,0,4,0.494231760515839,0.494231760515839
PRI,0,5,2.163739563015001,2.163739563015001
PRI,0,6,-0.29768001169729186,0.29768001169729186
PRI,1,2,-2.729442703022325,2.729442703022325
PRI,1,3,-1.0373635534772205,1.0373635534772205
PRI,1,4,-1.4864885504209884,1.4864885504209884
PRI,1,5,0.5010052616197702,0.5010052616197702
PRI,1,6,-2.140666524238602,2.140666524238602
PRI,2,3,1.9035564801154832,1.9035564801154832
PRI,2,4,1.5648724507420502,1.5648724507420502
PRI,2,5,2.6155474043637765,2.6155474043637765
PRI,2,6,0.7055827215577891,0.7055827215577891
PRI,3,4,-0.4235604125694252,0.4235604125694252
PRI,3,5,1.4640068570408362,1.4640068570408362
PRI,3,6,-1.2170169908407689,1.2170169908407689
PRI,4,5,1.8424986182700258,1.8424986182700258
PRI,4,6,-0.8449539115713,0.8449539115713
PRI,5,6,-2.0580140556983433,2.0580140556983433
