predictor,comparison,coefficient,SE,OR,CI_lower,CI_upper,raw_p,FDR_p,FDR_significant
ATT,Profile_4,-0.890253535838078,0.3296807381175922,0.4105516499993569,0.2151482867994218,0.7834255146745951,0.0069266466292507,0.0232735326742824,True
CON,Profile_4,-0.229560602724736,0.3776519543003558,0.7948827951149025,0.3791746230589994,1.666352702805657,0.5432784239572155,0.7268080574736084,False
SNO,Profile_4,-2.4597710108959348,0.386855461384214,0.085454516880304,0.0400347394630182,0.1824034464366069,2.03902925559824e-10,2.446835106717888e-09,True
COVID,Profile_4,-0.2646513015346299,0.379366210530361,0.7674735201611804,0.3648718531979235,1.6143081440405993,0.4854184227820607,0.679585791894885,False
PU,Profile_4,-2.597891807382811,0.4192424495967599,0.0744303263931989,0.0327252931712924,0.1692841514971626,5.768360594990586e-10,6.056778624740115e-09,True
PEU,Profile_4,-0.9191940558842158,0.2863092990859071,0.39884035462369,0.2275556893733631,0.6990536203001716,0.0013250740671253,0.0053002962685013,True
PO,Profile_4,0.5341461707603273,0.3078512006383024,1.705990995228338,0.9331006720668378,3.119068888197847,0.0827268033395497,0.200478919030169,False
PRI,Profile_4,-2.079511933766633,0.3741767923305999,0.1249912012988334,0.0600307440754874,0.2602466559881407,2.7356375121622226e-08,2.089032282014788e-07,True
age,Profile_4,-0.063549638424103,0.0407182008630447,0.9384275360804888,0.8664444224888663,1.0163909162741631,0.1185902477685599,0.2621468634883955,False
gender,Profile_4,-0.0701340043487015,0.4008177753343785,0.9322688834505796,0.4249699391359698,2.045145293846565,0.861097485607393,0.960151959689191,False
Education,Profile_4,0.1124277185808528,0.2848855320232285,1.118991371705207,0.6402171110216043,1.955807910151977,0.6931073135756807,0.8086251991716275,False
Occupation,Profile_4,-0.007702649856355,0.1116383181533628,0.9923269395300814,0.7973083765070955,1.235046293168318,0.9449924294293892,0.9905612395197668,False
income,Profile_4,0.1383708614895983,0.2350818108013645,1.148401369151807,0.72441598427373,1.820536450464916,0.5561247598692096,0.7299137473283376,False
const,Profile_5,-10.72718907700502,2.2071765105569288,2.1940219974003744e-05,2.900376665640376e-07,0.0016596921986385,1.1730217091987088e-06,6.158363973293221e-06,True
ATT,Profile_5,-0.2428255656511079,0.2616048965163121,0.7844083295947584,0.4697422387914265,1.3098596990568716,0.3532961014152664,0.539579500343316,False
CON,Profile_5,0.5178366774824715,0.3015365360376966,1.6783928144871925,0.92943822624585,3.0308656994887806,0.0859195367272153,0.200478919030169,False
SNO,Profile_5,0.8515432690629536,0.3483805926440128,2.343260344108971,1.1837854443287876,4.638398847172044,0.0145137467225724,0.0443583763978002,True
COVID,Profile_5,0.4243577719930583,0.320218322514586,1.5286083892341975,0.8160577616923941,2.8633311480198205,0.1851002164177498,0.3466733516313495,False
PU,Profile_5,0.7252467159113224,0.2980536323429003,2.0652405648254097,1.1514955739195976,3.704068593231252,0.0149628952129772,0.0443583763978002,True
PEU,Profile_5,-0.5088036124694826,0.181081521172037,0.6012144341639332,0.4215894128244855,0.8573716152533923,0.0049571653120606,0.0181044298353517,True
PO,Profile_5,-0.2730688013177387,0.2063460845459049,0.7610404252435452,0.5078814996463233,1.1403891050534525,0.1857178669453658,0.3466733516313495,False
PRI,Profile_5,0.4112532271282338,0.2935886982244423,1.5087073538205351,0.8485887347589267,2.6823333686120647,0.1612798197493971,0.3225596394987942,False
age,Profile_5,0.0053110966563742,0.0187888111061549,1.005325225532422,0.9689764477525432,1.043037538668764,0.7774272274891064,0.8945737960148622,False
gender,Profile_5,-0.4139054239771236,0.2916491735375576,0.6610634690632964,0.3732384437811467,1.170846458641445,0.1558437970959967,0.3192897306357007,False
Education,Profile_5,-0.1122779747547222,0.1954502527795939,0.8937957703053514,0.609351214746468,1.311018768294606,0.5656578675435151,0.7310040134408502,False
Occupation,Profile_5,0.1862335510905792,0.0752334955348098,1.204703587360892,1.0395374970279985,1.3961119608955417,0.0133084270613691,0.042996456659808,True
income,Profile_5,0.1410743960054254,0.1716984654541259,1.1515103125656143,0.8224606854872861,1.6122059368215924,0.4112815884054549,0.5956491970010036,False
