respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2,post_profile_3
260,3,0.0,0.4103258580493188,0.08845987829751854,0.5012142636531626
261,0,0.999368933976108,0.00012454552781264265,0.00013317634989049436,0.0003733441461889864
262,1,0.0,0.7771378932986712,0.030450431541967207,0.19241167515936142
263,2,0.0,0.20430893147853568,0.7956889705413794,2.0979800850995405e-06
264,3,0.0,0.38764427252128814,0.08754839541220581,0.5248073320665059
265,2,0.0,0.16853147230612187,0.8314046070689148,6.392062496311469e-05
266,1,0.0,0.9155994854976929,0.06412077487974895,0.02027973962255823
267,0,0.9990419045582033,0.0006772900164160916,8.497463488407846e-05,0.00019583079049664243
268,3,0.0,0.4103258580493188,0.08845987829751854,0.5012142636531626
269,1,0.0,0.8348243997224339,0.15358280265704816,0.011592797620517972
270,1,0.0,0.5091036488203741,0.484211107351618,0.006685243828007887
271,1,0.0,0.6131257464070825,0.32573415454333066,0.061140099049586914
272,3,0.0,0.11038105144758546,0.016241066633846835,0.8733778819185679
273,3,0.0,0.25953112621460306,0.0025338835207842267,0.7379349902646126
274,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
275,0,0.999484248141678,6.72750990520495e-05,8.881408760737928e-05,0.00035966267166248503
276,3,0.0,0.10395998631443923,0.04917697678815932,0.8468630368974014
277,3,0.0,0.1555740293214843,0.07398418595597023,0.7704417847225455
278,3,0.0,0.11038105144758546,0.016241066633846835,0.8733778819185679
279,1,0.0,0.9997196890317195,4.0660579241063596e-05,0.00023965038903924616
280,3,0.0,0.32670167381842513,0.053662907842462054,0.619635418339113
281,3,0.0,0.09183068977857348,0.006544865338345462,0.901624444883081
282,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
283,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
284,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
285,3,0.0,0.2815589899923591,0.08048448502196962,0.6379565249856713
286,2,0.0,0.266187239360653,0.7336772379300802,0.0001355227092667839
287,3,0.0,0.2871367179146447,0.023675699022882083,0.6891875830624732
288,1,0.0,0.6193412164161126,0.28320413387342774,0.09745464971045957
289,1,0.0,0.9992156484890985,0.00042374049345005684,0.0003606110174510249
290,0,0.999484248141678,6.72750990520495e-05,8.881408760737928e-05,0.00035966267166248503
291,3,0.0,0.10395998631443923,0.04917697678815932,0.8468630368974014
292,1,0.0,0.9891658000838182,6.29967637957613e-05,0.010771203152386137
293,3,0.0,0.1555740293214843,0.07398418595597023,0.7704417847225455
294,3,0.0,0.07416132232020206,0.027128999191885855,0.898709678487912
295,3,0.0,0.19624449237532846,0.05782723800406879,0.7459282696206027
296,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
297,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
298,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
299,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
300,1,0.0,0.9998529862579663,3.032165627551466e-06,0.0001439815764063432
301,0,0.999484248141678,6.72750990520495e-05,8.881408760737928e-05,0.00035966267166248503
302,1,0.0,0.9782163629634423,0.02119176653603855,0.0005918705005192407
303,2,0.0,0.266187239360653,0.7336772379300802,0.0001355227092667839
304,1,0.0,0.9782163629634423,0.02119176653603855,0.0005918705005192407
305,2,0.0,0.266187239360653,0.7336772379300802,0.0001355227092667839
306,1,0.0,0.8016360467255456,0.09463398522838945,0.1037299680460651
307,2,0.0,0.266187239360653,0.7336772379300802,0.0001355227092667839
