profile,reference_profile,predictor,beta,SE,z,p,OR,CI_lower,CI_upper,p_FDR,significant_FDR,specification,dropped_predictor
1,0,Education,-0.01685406286908265,0.18425633066356972,-0.09147073974818361,0.9271185550455567,0.9832871722733573,0.6852329188693508,1.4109854277763896,0.9428324288598883,False,drop_SNO,SNO
1,0,Occupation,-0.24146170617975796,0.07298851337014929,-3.3082151564757107,0.0009389264450563972,0.7854788822001916,0.6807778807164583,0.9062824922177978,0.004333506669491064,True,drop_SNO,SNO
1,0,income,-0.2849317796460779,0.15991494447488772,-1.7817708068605322,0.07478661472820258,0.75206555874795,0.5497096381387698,1.0289115660585968,0.14474828657071467,False,drop_SNO,SNO
2,0,ATT,-0.17141112178271986,0.2312374369855937,-0.7412775544359581,0.4585251682040866,0.8424751423813828,0.5354560323391288,1.3255324857018418,0.5853512785584084,False,drop_SNO,SNO
2,0,CON,-0.41969997690143424,0.2658820027496976,-1.5785196912953205,0.11444626801305598,0.6572439786124582,0.3903042552707912,1.1067510578961919,0.19619360230809596,False,drop_SNO,SNO
2,0,COVID,-0.7765340823338894,0.27888607893197126,-2.7844132102531716,0.005362467011715732,0.45999756530239244,0.2662949374512299,0.7945992594128134,0.01693410635278652,True,drop_SNO,SNO
2,0,PU,-1.253222692861646,0.27597821322826416,-4.54102038781262,5.598261706969071e-06,0.2855829660830791,0.1662703849389073,0.49051206892180965,4.1986962802268034e-05,True,drop_SNO,SNO
2,0,PEU,0.07620990229106106,0.16501572586035032,0.4618341790985185,0.6442002383376471,1.0791890746442225,0.7809681426813375,1.491288818558981,0.7578826333384083,False,drop_SNO,SNO
2,0,PO,0.04000053935513817,0.1884640465080692,0.21224493528756705,0.8319159519283691,1.0408113355591786,0.7193631359533421,1.5058990127327612,0.8913385199232525,False,drop_SNO,SNO
2,0,PRI,-0.7886896783374908,0.2595282830737925,-3.0389353676463857,0.002374157833594092,0.45443986773205003,0.27325083034335107,0.755772976516952,0.008468841083460002,True,drop_SNO,SNO
2,0,age,-0.0054283135380553335,0.015882236047700234,-0.3417852197733429,0.7325125333951505,0.9945863931330379,0.9641026600715071,1.0260339841112116,0.8176588023707192,False,drop_SNO,SNO
2,0,gender,0.6725178833765894,0.254233905964416,2.645272198550569,0.008162522662028188,1.9591640621769393,1.190316725611576,3.224623950867819,0.02134154161376061,True,drop_SNO,SNO
2,0,Education,0.24056470602611946,0.16964501083220546,1.4180476327951672,0.1561768585774711,1.2719672351116118,0.9121603197065373,1.773702069958485,0.25325977066616934,False,drop_SNO,SNO
2,0,Occupation,-0.15862300774556454,0.06551704248152694,-2.421095362939949,0.01547381736343457,0.8533179926124114,0.7504844024449803,0.9702421451316675,0.03601240177678539,True,drop_SNO,SNO
2,0,income,-0.2454023744407938,0.14817759163497332,-1.6561368809754173,0.0976941020118319,0.7823896612944525,0.585183120612229,1.0460547485717342,0.17762564002151257,False,drop_SNO,SNO
3,0,ATT,-1.72382020620083,0.37288140105929096,-4.6229718116906815,3.7828114358857437e-06,0.17838338328406866,0.0858917280320199,0.3704737599412183,3.2424098021877805e-05,True,drop_SNO,SNO
3,0,CON,-1.6030183278539383,0.40894570980610573,-3.9198805352768726,8.859287322895321e-05,0.20128804685541923,0.09030595091960096,0.4486623239584894,0.0004832338539761084,True,drop_SNO,SNO
3,0,COVID,-1.3376444065191133,0.423510194895073,-3.158470380743779,0.00158599424980022,0.262463197568315,0.11443773666088002,0.6019599136421317,0.006797118213429515,True,drop_SNO,SNO
3,0,PU,-3.0795255952233407,0.4451960870542332,-6.91723419134229,4.605464060487907e-12,0.04598106511254084,0.019214118611173215,0.1100367074685516,9.673431333067717e-11,True,drop_SNO,SNO
3,0,PEU,-0.6085531635545106,0.3174809013282187,-1.9168181802702362,0.055261034456113786,0.544137577896826,0.2920542430319347,1.0138038078325362,0.11433317473678715,False,drop_SNO,SNO
3,0,PO,-1.0372125168846253,0.3416677226791482,-3.035734569105453,0.0023995049736470005,0.35444130537600504,0.18143074772252446,0.6924330111276381,0.008468841083460002,True,drop_SNO,SNO
3,0,PRI,-2.715535261648495,0.4172938264746423,-6.5074896616365585,7.641700882771272e-11,0.06616952551712232,0.029204538271171008,0.1499221136970758,1.1462551324156908e-09,True,drop_SNO,SNO
3,0,age,-0.0008130390881445386,0.03185521042986453,-0.025522954555098707,0.9796378393622955,0.9991872913385789,0.938709469755226,1.06356149089756,0.9796378393622955,False,drop_SNO,SNO
3,0,gender,0.4873308293546716,0.4529432316429918,1.0759203257921381,0.28196289072850533,1.6279650989427077,0.6700265740211121,3.955470523310962,0.4126286205783005,False,drop_SNO,SNO
3,0,Education,-0.7630773562689279,0.2871199884485362,-2.6576949950167017,0.00786770611751178,0.4662294629581681,0.2655817612771322,0.818467017783794,0.02134154161376061,True,drop_SNO,SNO
3,0,Occupation,-0.3323273671512546,0.12018320785455222,-2.765173047747593,0.005689260583998353,0.7172524795155939,0.5667219664319816,0.9077663295993172,0.01706778175199506,True,drop_SNO,SNO
3,0,income,-0.45712966364014584,0.2516863616433604,-1.8162671217278696,0.06932940612619018,0.6330982449174912,0.38657285380322054,1.036837904613023,0.13865881225238036,False,drop_SNO,SNO
4,0,ATT,-0.23450042834053153,0.3280678107343885,-0.7147925540625156,0.4747372368085804,0.790965895088554,0.4158156203103295,1.5045780308260723,0.5934215460107255,False,drop_SNO,SNO
4,0,CON,-0.42954345432188606,0.3651809252721297,-1.176248332252825,0.23949565580057386,0.6508061496434966,0.31812907960456027,1.3313735573631662,0.36845485507780595,False,drop_SNO,SNO
4,0,COVID,-0.33014417992753714,0.38833616318507286,-0.850150491315941,0.39524142297416665,0.7188200865322161,0.3357853844781501,1.5387873942315822,0.5269885639655556,False,drop_SNO,SNO
4,0,PU,-0.9658825996302908,0.38721164783600404,-2.494456468518663,0.01261501990375218,0.38064709245400163,0.17820558390546484,0.8130621152171542,0.03153754975938045,True,drop_SNO,SNO
4,0,PEU,0.30057038497067606,0.24017520717238378,1.2514629986555779,0.2107656051632657,1.3506289663750009,0.8435188574199589,2.162605600058326,0.332787797626209,False,drop_SNO,SNO
4,0,PO,-0.21237294201851648,0.2592395045505257,-0.8192151978793998,0.4126636453912951,0.8086630568900184,0.4865175174379833,1.3441159180091942,0.5382569287712544,False,drop_SNO,SNO
4,0,PRI,1.2804570238001207,0.4275841293499612,2.994631783332902,0.002747763289798343,3.59828385119798,1.55642594251854,8.318832473866927,0.009159210965994476,True,drop_SNO,SNO
4,0,age,-0.022377520212645066,0.024542827628834855,-0.9117743297986654,0.3618875262071627,0.9778709992910223,0.9319450154220582,1.0260602025124468,0.4934829902824946,False,drop_SNO,SNO
4,0,gender,0.36151181507028674,0.35421975180870324,1.020586269467891,0.3074504974333334,1.4354979823936864,0.7169430293773287,2.8742234361997228,0.4290006940930234,False,drop_SNO,SNO
4,0,Education,-0.03032547062278383,0.2372169100570869,-0.1278385702582751,0.8982767258209527,0.9701297334309446,0.6094059709888656,1.5443755796478587,0.9428324288598883,False,drop_SNO,SNO
4,0,Occupation,-0.21960905435902542,0.09690763652566066,-2.2661687172700167,0.02344105519323817,0.8028326005242171,0.6639502732795393,0.9707657491890361,0.050230832556938936,False,drop_SNO,SNO
4,0,income,-0.1425589725468605,0.2064774226068838,-0.6904337081845563,0.48992148499719956,0.8671364155414786,0.5785358747604649,1.2997042983193543,0.5999038591802444,False,drop_SNO,SNO
5,0,ATT,-0.555091610883213,0.23894115713583297,-2.323131006550099,0.02017211573868876,0.5740196723384524,0.35936514914915046,0.9168907586383384,0.0448269238637528,True,drop_SNO,SNO
5,0,CON,-0.40742514273038427,0.2724084548597574,-1.495640592139979,0.13474733916683787,0.6653612566608439,0.3901025154563983,1.134844263558148,0.22457889861139646,False,drop_SNO,SNO
5,0,COVID,-1.1630093952467135,0.28491240883107005,-4.081989268274671,4.465185914365235e-05,0.3125441951745242,0.17880888652488264,0.5463032393733832,0.0002679111548619141,True,drop_SNO,SNO
5,0,PU,-1.3359734452521586,0.28357265574330087,-4.711220980564236,2.462370548540457e-06,0.26290213002288887,0.15080376596023065,0.4583276122480878,2.4623705485404566e-05,True,drop_SNO,SNO
5,0,PEU,-0.09545648684455497,0.17011789142249498,-0.561119621495218,0.5747159928263847,0.9089579124201118,0.6512331536059905,1.2686769430829659,0.6896591913916618,False,drop_SNO,SNO
5,0,PO,-0.05575107618712177,0.1947892029236069,-0.2862123534074238,0.7747154826915766,0.9457745323940098,0.64562404782704,1.3854649143501823,0.8451441629362655,False,drop_SNO,SNO
5,0,PRI,-1.1985051960936062,0.2689114216995316,-4.456877244257616,8.31621918411324e-06,0.301644774864486,0.17807124025193746,0.5109728560002907,5.5441461227421605e-05,True,drop_SNO,SNO
5,0,age,0.016660426678957237,0.01626490626792751,1.0243174110268098,0.30568537681741403,1.0167999855470524,0.984896430926142,1.049736985681104,0.4290006940930234,False,drop_SNO,SNO
5,0,gender,0.46765349377912974,0.26512188581210594,1.7639188569689022,0.07774564156748168,1.5962441983034674,0.9493427248551431,2.683957514928309,0.14577307793902813,False,drop_SNO,SNO
5,0,Education,0.20495994915755053,0.17826969375645546,1.1497184116867232,0.2502598685463556,1.227475902534703,0.8654993541301882,1.7408413814676824,0.37538980281953344,False,drop_SNO,SNO
5,0,Occupation,-0.23807089336454798,0.06939736182270786,-3.4305467399864122,0.0006023661880370032,0.788146814733708,0.6879151875640848,0.9029825373887713,0.0030118309401850163,True,drop_SNO,SNO
5,0,income,-0.05444709684358563,0.15583436824183886,-0.34939081447739023,0.7267959283366379,0.9470086072771076,0.6977583367445562,1.285295001190717,0.8176588023707192,False,drop_SNO,SNO
1,0,ATT,-0.7042031846788414,0.2547482736294447,-2.7643099387718366,0.005704332784940786,0.49450244443848324,0.30013893316079127,0.8147315810729343,0.02013293924096748,True,drop_COVID,COVID
1,0,CON,-0.32341274392053426,0.28174860604998603,-1.147876997351165,0.25101934538461956,0.7236751002196197,0.416595308434175,1.2571088537849575,0.3746575511745804,False,drop_COVID,COVID
1,0,SNO,-2.5291081419980226,0.3323288261202731,-7.610258103468621,2.7354908964986088e-14,0.07973009651080842,0.04156600467166527,0.15293479226200907,9.924965686718469e-13,True,drop_COVID,COVID
1,0,PU,-2.2904536439418695,0.3019457228111416,-7.585646925604846,3.308321895572823e-14,0.10122053335532905,0.056007634865745344,0.1829321376861703,9.924965686718469e-13,True,drop_COVID,COVID
1,0,PEU,-0.35425849595500525,0.18479292642800849,-1.917056582211858,0.05523074370956527,0.7016935589630912,0.488482011682832,1.0079672104895934,0.125006085632067,False,drop_COVID,COVID
1,0,PO,0.2750167662860956,0.21204925256829615,1.2969475862572026,0.1946492216656518,1.316552748382615,0.8688369778312266,1.9949785558166202,0.324415369442753,False,drop_COVID,COVID
1,0,PRI,-1.7476901567733862,0.2811035345483672,-6.21724717756146,5.059524330607452e-10,0.1741757979484609,0.10039397489932003,0.3021815663878903,6.071429196728942e-09,True,drop_COVID,COVID
1,0,age,0.004359463450217181,0.018603254277707003,0.23433875520592623,0.8147220010955585,1.0043689797346103,0.9684069134169234,1.041666507619041,0.8576021064163774,False,drop_COVID,COVID
1,0,gender,0.6141328780714513,0.28386089874148385,2.1634993787247567,0.030502791464951887,1.8480534169384206,1.0594665392001212,3.2236048100549404,0.07625697866237972,False,drop_COVID,COVID
