respondent,assigned_class,post_profile_0,post_profile_1
79,0,0.6530777731073946,0.3469222268926054
80,1,0.001047462288361524,0.9989525377116384
81,0,0.8566874661891276,0.1433125338108723
82,0,0.8534730654971349,0.14652693450286514
83,0,0.7477187405761714,0.2522812594238286
84,0,0.5996599278706654,0.40034007212933476
85,1,0.20299020429399467,0.7970097957060054
86,0,0.897095225456204,0.10290477454379605
87,0,0.8408795361432747,0.15912046385672537
88,0,0.9155583687304025,0.08444163126959771
89,0,0.8942790671658533,0.10572093283414667
90,0,0.8367322011739955,0.16326779882600448
91,0,0.7258787746327156,0.2741212253672845
92,0,0.7614283162799566,0.23857168372004323
93,0,0.9150642466055321,0.08493575339446777
94,0,0.897095225456204,0.10290477454379605
95,0,0.8367322011739955,0.16326779882600448
96,0,0.8534730654971349,0.14652693450286514
97,0,0.8534730654971349,0.14652693450286514
98,0,0.8534730654971349,0.14652693450286514
99,0,0.8799887993279241,0.12001120067207591
100,0,0.8907236239108801,0.1092763760891198
101,0,0.9098715210949928,0.09012847890500726
102,0,0.8987933321790375,0.1012066678209624
103,0,0.9098715210949928,0.09012847890500726
104,0,0.897095225456204,0.10290477454379605
105,0,0.8184007155377541,0.18159928446224588
106,0,0.8997036518285733,0.10029634817142678
107,0,0.8534730654971349,0.14652693450286514
108,0,0.9180583922153185,0.08194160778468144
109,0,0.8942790671658533,0.10572093283414667
110,0,0.8987933321790375,0.1012066678209624
111,0,0.8551229964166008,0.14487700358339914
112,0,0.9082674359843185,0.09173256401568156
113,0,0.919997572111041,0.08000242788895913
114,0,0.8987933321790375,0.1012066678209624
115,0,0.7477187405761714,0.2522812594238286
116,0,0.9176175896850907,0.08238241031490931
117,0,0.9082674359843185,0.09173256401568156
118,0,0.9098715210949928,0.09012847890500726
119,0,0.8799887993279241,0.12001120067207591
120,1,0.12407860988598868,0.8759213901140112
121,0,0.7614283162799566,0.23857168372004323
122,1,0.20299020429399467,0.7970097957060054
123,1,0.06323845445090878,0.936761545549091
124,0,0.9212317466791067,0.07876825332089328
125,0,0.9196398183364037,0.08036018166359632
126,0,0.9158152345842944,0.0841847654157054
127,0,0.8367322011739955,0.16326779882600448
128,0,0.897095225456204,0.10290477454379605
129,0,0.9155583687304025,0.08444163126959771
130,0,0.8486496577447404,0.15135034225525967
131,0,0.8967031315133432,0.10329686848665662
132,0,0.8184007155377541,0.18159928446224588
133,0,0.8799887993279241,0.12001120067207591
134,0,0.5341654868192665,0.4658345131807333
135,0,0.6530777731073946,0.3469222268926054
136,0,0.6530777731073946,0.3469222268926054
137,0,0.8997036518285733,0.10029634817142678
138,0,0.8408795361432747,0.15912046385672537
139,0,0.5292801819648223,0.47071981803517765
140,0,0.8997036518285733,0.10029634817142678
141,0,0.8907236239108801,0.1092763760891198
142,0,0.8997036518285733,0.10029634817142678
143,0,0.8486496577447404,0.15135034225525967
144,0,0.8967031315133432,0.10329686848665662
145,0,0.7922202802150948,0.20777971978490514
146,0,0.8367322011739955,0.16326779882600448
147,0,0.9180583922153185,0.08194160778468144
148,1,0.03691976088832407,0.9630802391116761
149,0,0.8947770680258257,0.10522293197417432
150,0,0.863876634731978,0.13612336526802205
151,0,0.9196398183364037,0.08036018166359632
