respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2,post_profile_3,post_profile_4,post_profile_5
787,1,0.0,0.963144791012655,1.1075123035135811e-10,0.03685520887659375,6.833071186717258e-19,0.0
788,1,0.0,0.8711729098313418,1.9626953841802524e-05,0.12880746321479525,2.103286282833328e-14,0.0
789,1,0.0,0.6591058654766069,2.9815864312103676e-11,0.34089413449357747,7.432869395799289e-53,0.0
790,1,0.0,0.9882746365503297,2.0581066346158434e-05,0.01170324673345439,1.535649869568172e-06,0.0
791,4,0.0,0.023229776591300915,0.4184164401901885,0.007356204881561149,0.5509975783369494,0.0
792,1,0.0,0.9582034179476349,1.527893643338885e-17,0.041796582052365305,7.696909414902103e-31,0.0
793,5,0.0,0.000614413953932518,7.341606514069612e-05,0.0002773548470713034,4.888174174308396e-21,0.9990348151338554
794,1,0.0,0.7634882333319652,6.609089581708991e-11,0.2365117666019438,9.951695723585918e-33,0.0
795,1,0.0,0.9514791135126709,2.1571721867132835e-05,0.048499313626821826,1.1386402341089261e-09,0.0
796,1,0.0,0.9990261054775448,1.0593077047832318e-10,0.0009738943983580087,1.8166323152836275e-11,0.0
797,1,0.0,0.9997439977321237,1.3359534878990295e-05,0.00019556016934408263,4.7082563653493773e-05,0.0
798,1,0.0,0.9926149130796877,1.147223684226618e-10,0.007385086805567764,2.202779628331621e-14,0.0
799,1,0.0,0.8711729098313418,1.9626953841802524e-05,0.12880746321479525,2.103286282833328e-14,0.0
800,1,0.0,0.7757701293744377,1.5853028303515146e-05,0.22421401759725884,9.898465962774617e-21,0.0
801,1,0.0,0.9926149130796877,1.147223684226618e-10,0.007385086805567764,2.202779628331621e-14,0.0
802,3,0.0,0.07377198140189041,1.1709240924903858e-37,0.9262280185981094,2.044888028740766e-99,0.0
803,1,0.0,0.9990261054775448,1.0593077047832318e-10,0.0009738943983580087,1.8166323152836275e-11,0.0
804,2,0.0,0.10043310208479114,0.8984243175114882,0.0011425804037207522,4.3579711450579416e-47,0.0
805,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
806,5,0.0,0.000614413953932518,7.341606514069612e-05,0.0002773548470713034,4.888174174308396e-21,0.9990348151338554
807,2,0.0,0.054186761723166416,0.9343401039026026,0.011473134374230956,4.3028695179421225e-26,0.0
808,2,0.0,0.040184936381756284,0.9271561302060557,0.032658933384688685,2.7499321496801488e-11,0.0
809,0,0.9999192478892461,2.900693565684066e-06,5.099546529828104e-05,2.6753646546731212e-05,1.0230534302688387e-07,0.0
810,2,0.0,0.03975287091668099,0.9252273677010419,0.03501637547448069,3.385907796559327e-06,0.0
811,1,0.0,0.8318074204847657,7.336684415992637e-06,0.16818524283081807,5.062725546441587e-49,0.0
812,0,0.9998924176229602,5.11951723479379e-06,9.642808806645588e-05,6.0347717383093356e-06,7.05644818217312e-17,0.0
813,0,0.9998924176229602,5.11951723479379e-06,9.642808806645588e-05,6.0347717383093356e-06,7.05644818217312e-17,0.0
814,4,0.0,0.0028266911403110537,0.20515950652243797,0.004174750784688717,0.7878390515525621,0.0
815,4,0.0,0.0028266911403110537,0.20515950652243797,0.004174750784688717,0.7878390515525621,0.0
816,0,0.9999157952587338,2.2366067481373526e-06,3.3128242995440716e-05,3.1921587224436464e-05,1.6918304298064732e-05,0.0
817,4,0.0,0.0028266911403110537,0.20515950652243797,0.004174750784688717,0.7878390515525621,0.0
818,1,0.0,0.8711729098313418,1.9626953841802524e-05,0.12880746321479525,2.103286282833328e-14,0.0
819,0,0.9999157952587338,2.2366067481373526e-06,3.3128242995440716e-05,3.1921587224436464e-05,1.6918304298064732e-05,0.0
820,5,0.0,0.0007246353963790553,7.160134697502615e-05,0.00024302325334829564,5.0367763057085155e-29,0.9989607400032976
821,1,0.0,0.9999100985355903,1.0880757119988488e-35,8.990146440995161e-05,1.0782687395873692e-41,0.0
822,5,0.0,0.005518868899367303,5.3644431153620974e-05,1.1247007930968817e-06,3.665486014180928e-92,0.994426361968686
823,2,0.0,0.04282314553391563,0.917733481341192,0.027551036833367543,0.011892336291524742,0.0
824,2,0.0,0.15104885456862097,0.8487307884055738,0.00022035702580494148,6.49601823532521e-60,0.0
825,2,0.0,0.07112770858865036,0.9246198156087149,0.004252475802634642,8.157517570611718e-36,0.0
826,5,0.0,0.0012834678726012297,6.595274081658587e-05,7.271074797831873e-05,1.22409553083612e-49,0.9985778686386036
827,1,0.0,0.8318074204847657,7.336684415992637e-06,0.16818524283081807,5.062725546441587e-49,0.0
828,0,0.9998777301445174,1.7524064091248478e-06,1.9961369160230536e-05,2.608171246863539e-05,7.447436744469357e-05,0.0
829,0,0.9998777301445174,1.7524064091248478e-06,1.9961369160230536e-05,2.608171246863539e-05,7.447436744469357e-05,0.0
830,5,0.0,0.0012834678726012297,6.595274081658587e-05,7.271074797831873e-05,1.22409553083612e-49,0.9985778686386036
831,2,0.0,0.15104885456862097,0.8487307884055738,0.00022035702580494148,6.49601823532521e-60,0.0
832,2,0.0,0.23687141350775823,0.7630987248011071,2.9861691134772406e-05,2.6448364937189004e-74,0.0
833,0,0.999840821830913,1.9335423833940594e-05,0.00013983947937866464,3.265874324813187e-09,4.250507990191099e-54,0.0
834,3,0.0,0.4934607548617818,1.2440073106617098e-18,0.506539245138218,3.0626658256479517e-84,0.0
835,1,0.0,0.7242464398653949,1.2253604245092329e-05,0.2757413065303599,1.2793697426966807e-28,0.0
836,4,0.0,0.023229776591300915,0.4184164401901885,0.007356204881561149,0.5509975783369494,0.0
837,1,0.0,0.7634882333319652,6.609089581708991e-11,0.2365117666019438,9.951695723585918e-33,0.0
838,1,0.0,0.8318074204847657,7.336684415992637e-06,0.16818524283081807,5.062725546441587e-49,0.0
839,5,0.0,0.0009263572523612288,6.909067329398598e-05,0.00015554394119473176,1.4736460843425825e-38,0.9988490081331499
840,1,0.0,0.513287749599636,3.558396035071362e-18,0.486712250400364,3.113941164317175e-58,0.0
841,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
842,2,0.0,0.008565447283555497,0.961813608195577,0.024645998606846506,0.004974945914021096,0.0
843,0,0.9998550976701369,9.634771864688297e-06,0.00013496819727452559,2.993607239355265e-07,2.443967774894697e-32,0.0
844,5,0.0,0.0019269425380807356,6.227176770207562e-05,2.4820704369096994e-05,2.886348376760473e-62,0.997985964989848
845,1,0.0,0.513287749599636,3.558396035071362e-18,0.486712250400364,3.113941164317175e-58,0.0
846,1,0.0,0.513287749599636,3.558396035071362e-18,0.486712250400364,3.113941164317175e-58,0.0
847,2,0.0,0.00799843806585677,0.974229628168964,0.017771034611000217,8.991541789826387e-07,0.0
848,1,0.0,0.7473869150154229,9.556281324934947e-06,0.2526035287032523,4.788109946370869e-38,0.0
849,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
850,4,0.0,0.014707156542056267,0.20322904412210457,0.0015448261406033666,0.7805189731952357,0.0
851,1,0.0,0.6591058654766069,2.9815864312103676e-11,0.34089413449357747,7.432869395799289e-53,0.0
852,1,0.0,0.7242464398653949,1.2253604245092329e-05,0.2757413065303599,1.2793697426966807e-28,0.0
853,1,0.0,0.6722250727268051,4.402979233527869e-11,0.32777492722916496,5.035536098160723e-42,0.0
854,3,0.0,0.2631541020339046,5.279246990963725e-27,0.7368458979660955,2.4693084355546306e-77,0.0
855,3,0.0,0.19082059031851828,2.2081880254153278e-27,0.8091794096814817,4.644976815117944e-91,0.0
856,3,0.0,0.07377198140189041,1.1709240924903858e-37,0.9262280185981094,2.044888028740766e-99,0.0
857,1,0.0,0.6722250727268051,4.402979233527869e-11,0.32777492722916496,5.035536098160723e-42,0.0
858,3,0.0,0.4541696484412815,1.9873123315808725e-18,0.5458303515587184,1.7218659184418516e-70,0.0
859,1,0.0,0.6722250727268051,4.402979233527869e-11,0.32777492722916496,5.035536098160723e-42,0.0
860,1,0.0,0.7473869150154229,9.556281324934947e-06,0.2526035287032523,4.788109946370869e-38,0.0
861,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
862,3,0.0,0.4934607548617818,1.2440073106617098e-18,0.506539245138218,3.0626658256479517e-84,0.0
863,5,0.0,0.000614413953932518,7.341606514069612e-05,0.0002773548470713034,4.888174174308396e-21,0.9990348151338554
864,2,0.0,0.044678236633293004,0.9327449072142341,0.022576856152472912,6.434885652285746e-18,0.0
865,0,0.9999080112901125,3.822787423841438e-06,7.281124333842298e-05,1.535466265736348e-05,1.6467964733528203e-11,0.0
866,2,0.0,0.04282314553391563,0.917733481341192,0.027551036833367543,0.011892336291524742,0.0
867,1,0.0,0.7473869150154229,9.556281324934947e-06,0.2526035287032523,4.788109946370869e-38,0.0
868,5,0.0,0.000614413953932518,7.341606514069612e-05,0.0002773548470713034,4.888174174308396e-21,0.9990348151338554
869,5,0.0,0.0007246353963790553,7.160134697502615e-05,0.00024302325334829564,5.0367763057085155e-29,0.9989607400032976
870,2,0.0,0.040184936381756284,0.9271561302060557,0.032658933384688685,2.7499321496801488e-11,0.0
871,0,0.999840821830913,1.9335423833940594e-05,0.00013983947937866464,3.265874324813187e-09,4.250507990191099e-54,0.0
872,1,0.0,0.7757701293744377,1.5853028303515146e-05,0.22421401759725884,9.898465962774617e-21,0.0
873,2,0.0,0.008565447283555497,0.961813608195577,0.024645998606846506,0.004974945914021096,0.0
874,1,0.0,0.9926149130796877,1.147223684226618e-10,0.007385086805567764,2.202779628331621e-14,0.0
875,0,0.9999157952587338,2.2366067481373526e-06,3.3128242995440716e-05,3.1921587224436464e-05,1.6918304298064732e-05,0.0
876,2,0.0,0.044678236633293004,0.9327449072142341,0.022576856152472912,6.434885652285746e-18,0.0
877,0,0.9999192478892461,2.900693565684066e-06,5.099546529828104e-05,2.6753646546731212e-05,1.0230534302688387e-07,0.0
878,0,0.9999192478892461,2.900693565684066e-06,5.099546529828104e-05,2.6753646546731212e-05,1.0230534302688387e-07,0.0
879,2,0.0,0.008146383499022684,0.9824352357935285,0.009418380702805512,4.643212371108572e-12,0.0
880,2,0.0,0.008565447283555497,0.961813608195577,0.024645998606846506,0.004974945914021096,0.0
881,1,0.0,0.7242464398653949,1.2253604245092329e-05,0.2757413065303599,1.2793697426966807e-28,0.0
882,5,0.0,0.000614413953932518,7.341606514069612e-05,0.0002773548470713034,4.888174174308396e-21,0.9990348151338554
883,1,0.0,0.7242464398653949,1.2253604245092329e-05,0.2757413065303599,1.2793697426966807e-28,0.0
884,5,0.0,0.000614413953932518,7.341606514069612e-05,0.0002773548470713034,4.888174174308396e-21,0.9990348151338554
885,5,0.0,0.000614413953932518,7.341606514069612e-05,0.0002773548470713034,4.888174174308396e-21,0.9990348151338554
886,1,0.0,0.8318074204847657,7.336684415992637e-06,0.16818524283081807,5.062725546441587e-49,0.0
887,5,0.0,0.0007246353963790553,7.160134697502615e-05,0.00024302325334829564,5.0367763057085155e-29,0.9989607400032976
888,1,0.0,0.8711729098313418,1.9626953841802524e-05,0.12880746321479525,2.103286282833328e-14,0.0
889,1,0.0,0.7242464398653949,1.2253604245092329e-05,0.2757413065303599,1.2793697426966807e-28,0.0
890,2,0.0,0.03975287091668099,0.9252273677010419,0.03501637547448069,3.385907796559327e-06,0.0
891,2,0.0,0.03975287091668099,0.9252273677010419,0.03501637547448069,3.385907796559327e-06,0.0
892,2,0.0,0.009058284493304255,0.9872692821740457,0.0036724333326498084,6.857383237723751e-19,0.0
893,2,0.0,0.040184936381756284,0.9271561302060557,0.032658933384688685,2.7499321496801488e-11,0.0
894,0,0.9998437767792947,1.353971493954426e-05,0.00014264572134713066,3.778441862080816e-08,1.9754365497046944e-42,0.0
895,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
896,0,0.9998924176229602,5.11951723479379e-06,9.642808806645588e-05,6.0347717383093356e-06,7.05644818217312e-17,0.0
897,0,0.9998729554527305,6.967045488042454e-06,0.00011845328159990763,1.6242201814695045e-06,8.048912632149142e-24,0.0
898,4,0.0,0.023229776591300915,0.4184164401901885,0.007356204881561149,0.5509975783369494,0.0
899,3,0.0,3.0233229074839405e-06,4.388273439149199e-98,0.9999969766770921,4.119894861857969e-217,0.0
900,3,0.0,0.07377198140189041,1.1709240924903858e-37,0.9262280185981094,2.044888028740766e-99,0.0
