profile,reference_profile,predictor,beta,SE,z,p,p_FDR,OR,CI_lower,CI_upper,significant_FDR
2,0,income,-0.01810894547183684,0.16220558946700472,-0.11164193250887015,0.9111073225003226,0.9905612395197669,0.9820540361896906,0.7146003091114885,1.3496077705250422,False
3,0,ATT,-0.4382146378236687,0.18071734158725153,-2.4248621298587207,0.015314201375431019,0.05193511770798345,0.6451872863995256,0.45274753473041235,0.9194233046005401,False
3,0,CON,0.24658515730839506,0.1947409139377034,1.2662216291501864,0.20543374594932307,0.38302620241359575,1.2796481499700234,0.8736223993754275,1.8743788951524014,False
3,0,SNO,-1.1238943823389307,0.2064420529624839,-5.444115509465373,5.206342892399733e-08,4.512163840079769e-07,0.3250116073591506,0.2168562025528344,0.48710870924912825,True
3,0,COVID,-0.2746749561102607,0.20278179654227713,-1.3545345824618675,0.17556588804667106,0.37011187209838764,0.7598190576325251,0.5106211887269657,1.1306326746465665,False
3,0,PU,-0.9874562656496123,0.20927006060838063,-4.718573993713784,2.3750358317284964e-06,1.6841163170438427e-05,0.37252308659395356,0.24718318329809771,0.5614194630632632,True
3,0,PEU,-0.5426807637930882,0.1396446340324374,-3.886155508610745,0.00010184427958527921,0.0006110656775116754,0.5811881340472168,0.442027029306654,0.7641606163476322,True
3,0,PO,0.13738107138214498,0.1533838766617385,0.8956682695216726,0.3704299619966943,0.5778707407148431,1.147265255187169,0.8493776901463455,1.5496257801790145,False
3,0,PRI,-1.368939420932119,0.2086545720566615,-6.560792833048368,5.3522436515835256e-11,2.087375024117575e-09,0.25437660303894827,0.1689922569177931,0.38290189949419895,True
3,0,age,-0.00031859903438995603,0.015454749411094178,-0.020614959577490787,0.9835528069850423,0.9905612395197669,0.9996814517128929,0.969853831630529,1.0304264130386092,False
3,0,gender,-0.019037453204692488,0.19977869583466784,-0.09529270939103256,0.9240823333660773,0.9905612395197669,0.9811426146194743,0.6632497273536646,1.451400265271469,False
3,0,Education,-0.15739424130405263,0.14678618376207414,-1.072268774009229,0.28359932787168407,0.5027442630452582,0.8543671655879344,0.6407632971487204,1.1391776914858809,False
3,0,Occupation,-0.05600233623497203,0.05754838554675462,-0.9731347926254765,0.33048631392732386,0.5603898366593753,0.9455369268913799,0.8446802108891579,1.0584361615078894,False
3,0,income,0.04885574148661369,0.11124469830161006,0.43917366159917565,0.6605357079879846,0.8050278941103561,1.050068858440792,0.8443536401859892,1.305903776555359,False
4,0,ATT,-0.2979756220592747,0.16974092436410196,-1.7554730727170043,0.07917842261762292,0.2233907954907598,0.7423194357464058,0.5322362369357736,1.035326245088715,False
4,0,CON,0.15732586936597756,0.18338162008582667,0.8579151459799819,0.39093932019292665,0.5979071955891819,1.170376941757971,0.8170115019049137,1.6765763794083777,False
4,0,SNO,-0.6451116648926943,0.19406287423715796,-3.324240493853164,0.0008865970395010643,0.004939612077220215,0.5246039589910273,0.35862611399250127,0.7673989791909409,True
4,0,COVID,-0.18058554534088103,0.1935838510039067,-0.9328543905102737,0.3508951540011186,0.5623897124569548,0.8347812659944289,0.5712034127292607,1.2199852916242284,False
4,0,PU,-0.2418994411342539,0.19138240486876323,-1.263958624096775,0.20624487822270543,0.38302620241359575,0.7851351258800017,0.5395558625098734,1.1424899787449272,False
4,0,PEU,-0.16103556566045907,0.129735667495139,-1.2412590058666235,0.21451008333728083,0.38911131396064896,0.8512617948807988,0.6601306731413394,1.097732120180585,False
4,0,PO,0.010163813914677862,0.14204996298894143,0.07155097897117449,0.9429592531380108,0.9905612395197669,1.0102156409091467,0.7647134323704129,1.3345334316595991,False
4,0,PRI,-0.7768789585294317,0.1909307737771414,-4.068903839651443,4.7234835273031746e-05,0.00030702642927470634,0.4598389504449287,0.3162876245421449,0.6685429461629723,True
4,0,age,0.025375661890602325,0.013315289874586078,1.9057536208081356,0.056682178827745636,0.17004653648323692,1.0257003646973148,0.9992779545367865,1.052821423072308,False
4,0,gender,-0.26585173848787635,0.1861761705757154,-1.4279579264402045,0.1533039689407669,0.3473090335282214,0.7665527693491612,0.5321887641111804,1.1041254303409362,False
4,0,Education,-0.0016566155692550961,0.14003503519408547,-0.011830007875950925,0.9905612395197668,0.9905612395197669,0.9983447558609017,0.7587178691799309,1.3136533249602382,False
4,0,Occupation,-0.04999956162996731,0.05308567400809135,-0.941865438542729,0.3462615368012585,0.5623897124569548,0.9512298414912793,0.8572313163998059,1.0555356460186938,False
4,0,income,0.2256922394433236,0.10720149084496165,2.1053087756934947,0.03526443871118363,0.11002504877889292,1.2531899234947026,1.0156992762366932,1.5462105970652293,False
5,0,ATT,-0.890253535838078,0.32968073811759224,-2.7003504691273097,0.006926646629250715,0.028435707214818723,0.4105516499993569,0.21514828679942186,0.7834255146745951,True
5,0,CON,-0.22956060272473608,0.3776519543003558,-0.6078628750909651,0.5432784239572155,0.7459345853018612,0.7948827951149025,0.3791746230589994,1.666352702805657,False
5,0,SNO,-2.4597710108959348,0.38685546138421406,-6.358372199514998,2.0390292555982402e-10,5.301476064555424e-09,0.08545451688030403,0.040034739463018276,0.18240344643660691,True
5,0,COVID,-0.2646513015346299,0.379366210530361,-0.6976143214353289,0.4854184227820607,0.7011599440185321,0.7674735201611804,0.3648718531979235,1.6143081440405993,False
5,0,PU,-2.597891807382811,0.41924244959675994,-6.196633499020774,5.768360594990586e-10,1.1248303160231643e-08,0.07443032639319898,0.032725293171292455,0.1692841514971626,True
5,0,PEU,-0.9191940558842158,0.2863092990859071,-3.21049319326653,0.0013250740671253269,0.0068903851490516995,0.39884035462369,0.22755568937336315,0.6990536203001716,True
5,0,PO,0.5341461707603273,0.3078512006383024,1.7350790565468714,0.08272680333954979,0.2233907954907598,1.705990995228338,0.9331006720668378,3.119068888197847,False
5,0,PRI,-2.079511933766633,0.3741767923305999,-5.557565237582406,2.7356375121622226e-08,3.0482817992664766e-07,0.12499120129883347,0.06003074407548749,0.26024665598814073,True
5,0,age,-0.06354963842410309,0.04071820086304477,-1.5607182310891292,0.1185902477685599,0.2890637289358648,0.9384275360804888,0.8664444224888663,1.0163909162741631,False
5,0,gender,-0.07013400434870155,0.40081777533437857,-0.17497728061135237,0.861097485607393,0.9679899348703271,0.9322688834505795,0.42496993913596987,2.0451452938465655,False
5,0,Education,0.11242771858085285,0.2848855320232285,0.39464172779292245,0.6931073135756807,0.8191268251348953,1.1189913717052067,0.6402171110216043,1.955807910151977,False
5,0,Occupation,-0.0077026498563550795,0.11163831815336284,-0.06899646988387612,0.9449924294293892,0.9905612395197669,0.9923269395300814,0.7973083765070955,1.235046293168318,False
5,0,income,0.13837086148959837,0.2350818108013645,0.5886072640750444,0.5561247598692096,0.7478188757354945,1.148401369151807,0.72441598427373,1.820536450464916,False
6,0,ATT,-0.24282556565110794,0.2616048965163121,-0.9282149106714707,0.35329610141526646,0.5623897124569548,0.7844083295947584,0.46974223879142657,1.3098596990568716,False
6,0,CON,0.5178366774824715,0.3015365360376966,1.7173264782007518,0.0859195367272153,0.2233907954907598,1.6783928144871925,0.9294382262458499,3.0308656994887806,False
6,0,SNO,0.8515432690629536,0.34838059264401283,2.4442902017021644,0.01451374672257246,0.05193511770798345,2.343260344108971,1.1837854443287876,4.638398847172044,False
6,0,COVID,0.4243577719930583,0.32021832251458604,1.3252138998814744,0.18510021641774987,0.3714357338907317,1.5286083892341975,0.8160577616923941,2.8633311480198205,False
6,0,PU,0.7252467159113224,0.2980536323429003,2.4332758846466644,0.01496289521297726,0.05193511770798345,2.0652405648254097,1.1514955739195976,3.704068593231252,False
6,0,PEU,-0.5088036124694826,0.181081521172037,-2.8098041654183605,0.004957165312060604,0.022744640843572184,0.6012144341639332,0.4215894128244855,0.8573716152533923,True
6,0,PO,-0.27306880131773875,0.20634608454590492,-1.3233534424395164,0.18571786694536585,0.3714357338907317,0.7610404252435452,0.5078814996463233,1.1403891050534525,False
6,0,PRI,0.4112532271282338,0.2935886982244423,1.4007801717688722,0.1612798197493971,0.34943960945702707,1.5087073538205351,0.8485887347589267,2.6823333686120647,False
6,0,age,0.005311096656374298,0.018788811106154945,0.2826733754662347,0.7774272274891064,0.9050645334947807,1.0053252255324219,0.9689764477525432,1.043037538668764,False
6,0,gender,-0.41390542397712365,0.2916491735375576,-1.419189428712104,0.15584379709599677,0.3473090335282214,0.6610634690632964,0.37323844378114673,1.170846458641445,False
6,0,Education,-0.11227797475472225,0.19545025277959394,-0.5744580687820153,0.5656578675435151,0.7478188757354945,0.8937957703053514,0.609351214746468,1.311018768294606,False
6,0,Occupation,0.18623355109057926,0.07523349553480982,2.475407393564623,0.01330842706136917,0.05190286553933976,1.204703587360892,1.0395374970279985,1.3961119608955415,False
6,0,income,0.14107439600542548,0.1716984654541259,0.8216404009919209,0.4112815884054549,0.6169223826081823,1.1515103125656145,0.8224606854872861,1.6122059368215924,False
