construct,profile_1,profile_2,mean_1,mean_2,t_statistic,df,p_value,cohens_d,CI95_lower,CI95_upper
CON,0,4,4.109134045077105,3.9768707482993193,2.6264334119853627,524.0,0.008881096993819225,0.22780787613610665,0.033333775516781086,0.23119281803878988
CON,0,5,4.109134045077105,2.566666666666666,13.562402960324148,349.0,5.228609789325838e-23,2.276041375484829,1.3163534506112413,1.7685813062096363
CON,0,6,4.109134045077105,4.36986301369863,-3.2752164348094777,352.0,0.0014019192385491838,-0.4281170423205862,-0.41844340254665835,-0.10301453469639266
CON,1,2,3.1919999999999997,4.3580246913580245,-13.009217796054452,231.0,2.1994860326678853e-29,-1.6863818162559516,-1.3426240782224848,-0.9894253044935649
CON,1,3,3.1919999999999997,3.808080808080809,-8.066491955771792,387.0,6.22124465086587e-14,-0.9454279641424401,-0.7666721301013566,-0.46548948606026164
CON,1,4,3.1919999999999997,3.9768707482993193,-10.41958177025541,368.0,1.852763896751227e-20,-1.2653166333196075,-0.9334384987221475,-0.6363029978764917
CON,1,5,3.1919999999999997,2.566666666666666,4.932474317827225,193.0,2.590743210829573e-06,0.7762571341404056,0.3743658971252609,0.8763007695414066
CON,1,6,3.1919999999999997,4.36986301369863,-12.100347648782744,196.0,6.385462693014528e-25,-1.687263516855914,-1.369967952835664,-0.985758074561597
CON,2,3,4.3580246913580245,3.808080808080809,7.823116324598323,370.0,3.2754106217593417e-13,0.9056499397617348,0.4112957219599222,0.6885920445945091
CON,2,4,4.3580246913580245,3.9768707482993193,5.511479166430078,351.0,1.197974155510386e-07,0.6697135117624657,0.244706067746343,0.5176018183710674
CON,2,5,4.3580246913580245,2.566666666666666,14.538733382630443,176.0,1.787134712918144e-27,2.4086921987640095,1.5472082435269652,2.035507805855752
CON,2,6,4.3580246913580245,4.36986301369863,-0.127776010802047,179.0,0.8984893579138866,-0.019261791897581152,-0.1948342289968275,0.17115758431561595
CON,3,4,3.808080808080809,3.9768707482993193,-3.321672404525234,507.0,0.0009593870617386013,-0.2935804767745417,-0.26862347508059403,-0.06895640535642686
CON,3,5,3.808080808080809,2.566666666666666,10.895918069186617,332.0,7.171515166527463e-18,1.8392824703148225,1.0149187895545178,1.467909493273768
