respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2,post_profile_3,post_profile_4
305,3,0.005125988949578878,0.32140256238528375,0.0,0.6734714486651373,1.073702848264846e-63
306,1,0.2991296990302134,0.6434810301773484,0.0,0.05738927079243833,1.6632417296368575e-60
307,3,0.005125988949578878,0.32140256238528375,0.0,0.6734714486651373,1.073702848264846e-63
308,3,0.005125988949578878,0.32140256238528375,0.0,0.6734714486651373,1.073702848264846e-63
309,0,0.7737103634866179,0.12856847009590353,0.0,0.09772116641747855,1.4350257858078657e-23
310,1,0.2991296990302134,0.6434810301773484,0.0,0.05738927079243833,1.6632417296368575e-60
311,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
312,3,0.08339304518268158,0.4451898869569972,0.0,0.4714170678603214,7.448184301666187e-48
313,1,0.165324943365059,0.48993662570967483,0.0,0.3447384309252659,3.106418646080502e-35
314,3,0.037967033374302794,0.4377898223139162,0.0,0.5242431443117811,2.238439240695819e-62
315,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
316,1,0.165324943365059,0.48993662570967483,0.0,0.3447384309252659,3.106418646080502e-35
317,1,0.00011443667731887839,0.8063070419092351,0.0,0.19357852141344623,9.115715922944075e-52
318,1,0.2853650339987328,0.4335820934333124,0.0,0.2810528725679546,6.407395584480131e-47
319,3,0.0005120464191997558,0.3084663981946064,0.0,0.6910215553861939,4.038447971541937e-65
320,3,0.0017027920352789888,0.24219213349968993,0.0,0.7561050744650312,2.755511734262142e-80
321,0,0.43541057425823493,0.32166901335016596,0.0,0.24292041239159903,1.733316365085261e-34
322,0,0.6726976386478356,0.2189036869560625,0.0,0.10839867439610174,6.012941219770374e-34
323,0,0.6983113805355758,0.21024590367965248,0.0,0.09144271578476942,2.3403532325063567e-15
324,3,0.0005120464191997558,0.3084663981946064,0.0,0.6910215553861939,4.038447971541937e-65
325,3,0.005125988949578878,0.32140256238528375,0.0,0.6734714486651373,1.073702848264846e-63
326,0,0.6726976386478356,0.2189036869560625,0.0,0.10839867439610174,6.012941219770374e-34
327,0,0.43541057425823493,0.32166901335016596,0.0,0.24292041239159903,1.733316365085261e-34
328,0,0.7737103634866179,0.12856847009590353,0.0,0.09772116641747855,1.4350257858078657e-23
329,3,0.037967033374302794,0.4377898223139162,0.0,0.5242431443117811,2.238439240695819e-62
330,3,0.016326267609372155,0.4875498795820267,0.0,0.49612385280860116,8.823943267170077e-79
331,0,0.6726976386478356,0.2189036869560625,0.0,0.10839867439610174,6.012941219770374e-34
332,3,0.005125988949578878,0.32140256238528375,0.0,0.6734714486651373,1.073702848264846e-63
333,3,6.842061749752151e-06,0.05573338508389397,0.0,0.9442597728543562,3.988809028596614e-121
334,3,5.857525334829215e-09,0.0058738068485758325,0.0,0.9941261872938989,2.4461413985778937e-170
335,3,5.220947976835186e-13,0.0002212155168910082,0.0,0.9997787844825866,7.468604632770768e-176
336,3,7.925978022703284e-12,0.0004643198301605878,0.0,0.9995356801619132,1.4213040039198247e-199
337,3,5.857525334829215e-09,0.0058738068485758325,0.0,0.9941261872938989,2.4461413985778937e-170
338,3,4.6384169689471735e-10,0.002282929731483936,0.0,0.9977170698046742,2.0247961945603427e-148
339,3,4.6384169689471735e-10,0.002282929731483936,0.0,0.9977170698046742,2.0247961945603427e-148
340,3,7.2955913148631974e-06,0.12984763479203157,0.0,0.8701450696166534,1.2598639447400877e-83
341,3,5.220947976835186e-13,0.0002212155168910082,0.0,0.9997787844825866,7.468604632770768e-176
342,3,4.6384169689471735e-10,0.002282929731483936,0.0,0.9977170698046742,2.0247961945603427e-148
343,3,6.842061749752151e-06,0.05573338508389397,0.0,0.9442597728543562,3.988809028596614e-121
344,3,5.857525334829215e-09,0.0058738068485758325,0.0,0.9941261872938989,2.4461413985778937e-170
345,3,4.6384169689471735e-10,0.002282929731483936,0.0,0.9977170698046742,2.0247961945603427e-148
346,3,2.8084306827809505e-05,0.08008525585840635,0.0,0.9198866598347659,1.3039186996972935e-100
347,3,5.857525334829215e-09,0.0058738068485758325,0.0,0.9941261872938989,2.4461413985778937e-170
348,3,4.130036999695483e-09,0.007735712197092718,0.0,0.9922642836728702,1.4557366149931935e-125
349,3,4.678405860524818e-14,6.559237137749135e-05,0.0,0.9999344076285758,1.3471188090182225e-202
350,3,5.857525334829215e-09,0.0058738068485758325,0.0,0.9941261872938989,2.4461413985778937e-170
351,3,4.6384169689471735e-10,0.002282929731483936,0.0,0.9977170698046742,2.0247961945603427e-148
352,3,5.857525334829215e-09,0.0058738068485758325,0.0,0.9941261872938989,2.4461413985778937e-170
353,3,8.841685537222345e-11,0.005898093754953457,0.0,0.9941019061566295,8.360776639825661e-128
354,2,0.0004299815615330602,0.0012714016737784657,0.9982977781983695,8.385663189975091e-07,6.894149020222402e-48
355,0,0.5130000809742371,0.3919740573193246,0.0,0.09502586170643838,3.0689466449557067e-46
356,1,0.2991296990302134,0.6434810301773484,0.0,0.05738927079243833,1.6632417296368575e-60
357,3,0.037967033374302794,0.4377898223139162,0.0,0.5242431443117811,2.238439240695819e-62
358,3,0.08339304518268158,0.4451898869569972,0.0,0.4714170678603214,7.448184301666187e-48
359,0,0.7737103634866179,0.12856847009590353,0.0,0.09772116641747855,1.4350257858078657e-23
360,0,0.6726976386478356,0.2189036869560625,0.0,0.10839867439610174,6.012941219770374e-34
361,0,0.8519677140815356,0.09650946600663826,0.0,0.05152281991182626,3.168988105992291e-23
