respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2
568,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
569,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
570,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
571,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
572,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
573,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
574,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
575,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
576,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
577,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
578,1,0.03189741843423411,0.9277937904676032,0.04030879109816285
579,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
580,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
581,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
582,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
583,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
584,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
585,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
586,1,0.19343951577109947,0.4773192320391397,0.32924125218976114
587,0,0.7660475856223695,0.1873778224216528,0.04657459195597762
588,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
589,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
590,0,0.6671100690388398,0.26355004988644093,0.06933988107471938
591,1,0.38043083983346493,0.4520264153114558,0.16754274485507922
592,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
593,1,0.19343951577109947,0.4773192320391397,0.32924125218976114
594,0,0.6113122533987618,0.13951260775941676,0.24917513884182144
595,1,0.19343951577109947,0.4773192320391397,0.32924125218976114
596,0,0.6330943242655602,0.0679920259926905,0.29891364974174917
597,0,0.689929534576861,0.19960156891406097,0.1104688965090778
598,2,0.388398911417941,0.022808712942254193,0.5887923756398049
599,0,0.6470666771430931,0.02555436017429483,0.3273789626826122
600,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
601,0,0.7644110456144666,0.06951491004405277,0.16607404434148054
602,0,0.6470666771430931,0.02555436017429483,0.3273789626826122
603,0,0.6113122533987618,0.13951260775941676,0.24917513884182144
604,0,0.6330943242655602,0.0679920259926905,0.29891364974174917
605,1,0.19343951577109947,0.4773192320391397,0.32924125218976114
606,1,0.03189741843423411,0.9277937904676032,0.04030879109816285
