profile,predictor,primary_beta,primary_p,primary_FDR_p,primary_OR,beta_drop_ATT,beta_drop_CON,beta_drop_COVID,beta_drop_PEU,beta_drop_PO,beta_drop_PRI,beta_drop_PU,beta_drop_SNO,p_FDR_drop_ATT,p_FDR_drop_CON,p_FDR_drop_COVID,p_FDR_drop_PEU,p_FDR_drop_PO,p_FDR_drop_PRI,p_FDR_drop_PU,p_FDR_drop_SNO,std_beta,std_FDR_p,n_FDR_sig_dropouts_of_total,fdr_sig_in_drop_ATT,fdr_sig_in_drop_CON,fdr_sig_in_drop_COVID,fdr_sig_in_drop_PEU,fdr_sig_in_drop_PO,fdr_sig_in_drop_PRI,fdr_sig_in_drop_PU,fdr_sig_in_drop_SNO,fdr_sig_in_standardized,primary_significant_FDR
2,PRI,2.005367174066611,1.5941980553962405e-09,2.486948966418135e-08,7.428821066495295,1.996971598843805,2.0086307994349806,2.0017631021096713,1.995946075797001,2.0167236727674016,,2.206499730379934,2.146224656451528,2.0840143351203143e-08,2.3300288661541503e-08,1.679995951114446e-08,2.5059983310988142e-08,2.2105494435999417e-08,,1.8990444184666615e-10,3.7004872552213715e-09,1.4320647522860304,2.4861207301909737e-08,7,True,True,True,True,True,False,True,True,True,True
2,age,0.01348562823268286,0.45588019213669984,0.6709180186162753,1.0135769694531667,0.013338359202841932,0.01290308283587728,0.013822665089942154,0.0147285182306635,0.01307488342085491,0.01692894334006992,0.017196117449207574,0.01633666538665514,0.6778168546622956,0.6829423217471166,0.6529060853253794,0.6288531827080642,0.6602060447711711,0.5646769296294953,0.5172668029249531,0.5750891802567917,0.1074401788166258,0.6704568436876668,0,False,False,False,False,False,False,False,False,False,False
2,gender,-0.29108479881477606,0.2983582679751311,0.5171543311568939,0.7474522922621251,-0.27894820109947854,-0.2957336662858351,-0.28834384496996945,-0.30850666818298766,-0.29641350003044986,-0.07737482483657769,-0.16655614522924458,-0.3602453909594365,0.5231491974328637,0.48736591889962716,0.525235979179507,0.4915872052128932,0.48406595834294974,0.9006542450487265,0.700970181676552,0.3734678546802983,-0.2919219262102115,0.5147412893727994,0,False,False,False,False,False,False,False,False,False,False
2,Education,-0.08989058633120933,0.6435727165662517,0.8050278941103561,0.9140311873059259,-0.08176152156835684,-0.09167949048961933,-0.08695963978540723,-0.08762132308381988,-0.09479787290643794,-0.16198642454478482,-0.12099111883995686,-0.06717730777731665,0.8207089722699986,0.798434171559928,0.7978991579114955,0.8290395869971319,0.7822348983187671,0.5697451269930724,0.700970181676552,0.819268888610634,-0.0653465419016756,0.8044798370374663,0,False,False,False,False,False,False,False,False,False,False
2,Occupation,0.031140222270978398,0.6807198099327031,0.8168637719192436,1.0316301512675141,0.030364593473906375,0.03253980023868932,0.02847367396207878,0.024259108618564423,0.03506046116689738,0.00355389483896153,-0.01206492959881946,0.04341920493724478,0.8253607972445717,0.8009446836179992,0.8318702774389665,0.9126228471422078,0.7822348983187671,0.9749739351937794,0.9019488061991414,0.7669932115635771,0.06483725403723069,0.8170480456251873,0,False,False,False,False,False,False,False,False,False,False
2,income,-0.01810894547183684,0.9111073225003226,0.9905612395197669,0.9820540361896906,-0.017965674419960033,-0.020464610305327282,-0.014975036622285285,-0.0213509925082204,-0.018483403695748538,-0.029597778320850598,0.021425288965874978,0.02629315111621959,0.9479800610146055,0.9780632577146036,0.9717844952632279,0.9831147357144747,0.9933756944702243,0.9202881156455943,0.9019488061991414,0.893704994108043,-0.015564307786780324,0.9901820138436779,0,False,False,False,False,False,False,False,False,False,False
3,ATT,-0.4382146378236687,0.015314201375431019,0.05193511770798345,0.6451872863995256,,-0.37048860204767736,-0.4567514203645501,-0.45456057486345514,-0.4177467939211449,-0.461038720801581,-0.38058870357697205,-0.5029665740688114,,0.09396554231014927,0.034919583175867686,0.04668056519622801,0.06750025081367685,0.03611488805592099,0.10252025359047112,0.017114025839457328,-0.34257563328248014,0.05204527619533215,4,False,False,True,True,False,True,False,True,False,False
3,CON,0.24658515730839506,0.20543374594932307,0.38302620241359575,1.2796481499700234,0.10470301308026674,,0.20884931181258354,0.22047235445896185,0.25584292597110664,0.20741519429563457,0.12382130662726029,0.09175536179764408,0.7657409725540034,,0.4996614505882377,0.47830713067445463,0.3592676999660768,0.5075601941788183,0.700970181676552,0.7896637837080721,0.1920677942425636,0.38392477879779285,0,False,False,False,False,False,False,False,False,False,False
3,SNO,-1.1238943823389307,5.206342892399733e-08,4.512163840079769e-07,0.3250116073591506,-1.1663937046597843,-1.084713868120276,-1.2143889755542536,-1.1549564543669955,-1.0964924931445703,-1.1432619194327442,-1.0917923712260595,,1.4031703926649807e-07,7.074284276171015e-07,7.463255148926826e-09,1.2782262885429662e-07,5.531518277444145e-07,1.3931692419555901e-07,5.484687239937987e-07,,-0.9418162137257924,4.4080994825349945e-07,7,True,True,True,True,True,True,True,False,True,True
3,COVID,-0.2746749561102607,0.17556588804667106,0.37011187209838764,0.7598190576325251,-0.3146577176178298,-0.23469520426610602,,-0.28071851718363056,-0.26228616511896274,-0.2844762899304208,-0.4004270605220371,-0.6326946507545336,0.2865472103525593,0.4197015112507588,,0.38598360175839247,0.3592676999660768,0.347298316906438,0.13187717039011831,0.0042495945296260945,-0.21131009168078757,0.3706384998947301,1,False,False,False,False,False,False,False,True,False,False
