bootstrap,converged,n_iter,log_likelihood,BIC,matching_cost,matched_size_p0,mean_zINT_p0,mean_zBE_p0,matched_size_p1,mean_zINT_p1,mean_zBE_p1,matched_size_p2,mean_zINT_p2,mean_zBE_p2,matched_size_p3,mean_zINT_p3,mean_zBE_p3,matched_size_p4,mean_zINT_p4,mean_zBE_p4,matched_size_p5,mean_zINT_p5,mean_zBE_p5
61,True,66,-1168.0663734252203,2583.2794496923057,2.8450760181691974,332,0.9485220507094413,0.3480882833200363,83,-1.2507661763503237,-0.681748104398433,240,0.21726865283650348,0.1116479620779969,161,-1.3567829544775625,-1.2546367703197154,98,0.9538061048160366,1.654299930132458,252,-0.37406019013334885,-0.0693711092644344
62,True,42,-927.4320428049857,2102.0107884518366,3.070544421773502,59,-0.5766011242221701,0.7161236483296822,306,-0.6059050098283659,-0.5132937360705796,333,0.9146400755659425,0.293337668542675,87,-1.6340410770708478,-1.3837812208989715,109,0.9976443697181289,1.5816018070939395,272,0.13396944612119396,0.0707519687078115
63,True,39,-1855.2077599300728,3957.562222702011,3.767269290243269,139,1.4219347538323772,0.7448065082716275,219,-1.0293576576994545,-0.8757610914293913,633,0.25200970373008286,0.14656036968983585,37,-2.2974571604526304,-1.9629386078641557,66,0.5101710052907885,1.572768282245606,72,-0.5947428714945066,-0.4905204394201209
64,True,57,-640.5347676709347,1528.2162381837347,3.439548410117232,241,0.8953052530408856,0.14159006140001537,278,-1.1603646286893479,-0.7087812709012747,280,0.15533880167259756,0.16821414769178475,33,-1.75427173681764,-1.4659263981277417,184,1.0889124329521076,1.3261153993507282,150,-0.27694053663348583,-0.08761667071225182
65,True,40,-840.4841009954155,1928.1149048326963,2.8834270394301202,319,0.9192157564047435,0.3332902920718094,28,-1.1664586330360975,0.039193339875158474,267,0.16539321078305544,0.07555752876349944,218,-1.3693315028256008,-1.2653099072727858,119,0.9823836093382263,1.6214157186944271,215,-0.4183985167809554,-0.2033319467117799
66,True,61,-1201.693365904741,2650.5334346513473,3.1451629513100743,355,0.9610914213169125,0.3314277849920374,305,-0.6032823346866601,-0.40439212474342445,25,-1.0486132977695684,0.6917103324462331,138,-1.5033772767290083,-1.3387140962544768,94,0.8057535263996439,1.643526338287708,249,0.15995600729611176,0.11065788917425617
67,True,36,-1479.4900775688388,3206.126857979543,3.0968777578613516,343,0.8988627442955663,0.3338264486554943,36,-1.0201620043805897,-0.7461517749242743,264,0.151442700850812,0.14422135935682692,153,-1.4185160198221085,-1.187958675851031,98,1.091325558081558,1.5196893093170754,272,-0.4976603584359614,-0.07009854319283562
68,True,25,-921.7930951672708,2090.732893176407,2.3104363970377837,55,1.4670130641399894,1.5858560284642769,290,-0.5263605037428479,-0.3109295422692877,352,0.919665332174613,0.5506849073730705,170,-1.2175398722592197,-1.2249382801984945,26,-0.09559557508826766,1.1896097212625112,273,0.1447735129001847,0.17295442066224537
69,True,43,-459.54540122842764,1166.2375052987206,0.5347778560975696,75,1.4206083123720084,0.6354849184472587,301,-0.6437853869475005,-0.2744400645575945,262,0.739273509656008,0.22998182365833444,147,-1.378812191720189,-1.266574429646999,118,0.8070959343471809,1.5793697528695885,263,0.15066507785187372,0.1355104917436136
70,True,44,-1104.5113421285773,2456.16938709902,3.2673675464690817,366,0.8913320178801961,0.33962225602278484,281,-0.5696676486003859,-0.4344425537253284,242,0.13376572761269676,0.016474449985879217,131,-1.6803932357080191,-1.480930331833121,105,0.9038543171677369,1.590236218378604,41,-0.8392915431476149,0.4276134299108867
71,True,58,-442.54991278268096,1132.2465284072273,3.5014594610271796,282,0.9550551274460392,0.2817236170014258,268,-0.6874918125738759,0.019363587695662147,279,0.1846961517878736,0.1909881332583889,96,-1.4469754128879584,-1.7379910953721716,74,1.2653308234933647,1.6366171180582247,167,-0.44247292583648345,-0.4953142053388566
72,True,42,-1276.2826010196848,2799.7119048812347,3.1957630980757226,373,0.9023605586806765,0.34172234069569585,254,-0.44613736056283204,-0.19924676702483107,31,-1.0353035005847304,0.6557428591745226,190,-1.3822218432735878,-1.2997636292270809,91,0.9580969836488269,1.6436441599267164,227,0.16457245610751822,0.1307631531362538
73,True,44,-1399.3485771728124,3045.84385718749,2.952561170827239,222,0.3807300010144044,0.94979041270223,282,-0.6439996005355306,-0.6132244456451222,259,0.6051585738245051,-0.19025423971816693,92,-1.7182475764872827,-1.7982903708132563,100,0.9467857437735131,1.6343178109337875,211,0.20222239674277992,0.3012541050584487
74,True,23,-2232.890509909198,4712.927722660262,2.7400409504449894,118,1.4789405415202128,0.9399540259065914,266,-0.9256588542503671,-0.5057371488976533,484,0.3108092784372987,0.17716223711482756,71,-2.0336980026028404,-1.141811035512858,103,0.613011300476101,1.435535882324492,124,0.050648178714189536,-0.9214543132633943
75,True,47,-771.1435179471846,1789.4337387362345,2.7946055596327843,118,1.4756684136414844,0.8490782179479233,28,-1.2630600972589319,-0.4356130599539195,308,0.7609948882878311,0.44276110190449003,185,-1.3317378940186495,-1.323385983324353,236,-0.5102034163157906,0.04048799066150743,291,0.14665499682430805,0.1649737406245483
76,True,33,-2151.978136595887,4551.10297603364,3.497730972512123,59,1.448787182640312,1.564966890579353,197,-0.5483351317650407,-1.0020411039763177,577,0.34841821096095066,0.2048492778754626,79,-1.7203135898784911,-1.7171107212248573,180,0.286120504724538,1.1392120449281542,74,-0.2164260551974643,-0.21816017661120293
77,True,60,-570.6278826615624,1388.40246816499,1.0123965678569562,92,1.3932217294737703,0.5437029547391721,335,-0.7074100886660255,-0.3636298346034775,284,0.69294824059161,0.3210122614051825,99,-1.553904533982317,-1.2819988877243926,109,0.8814072895999352,1.6236163502679188,247,0.08243915559016407,0.07107507464537008
78,True,42,-904.1959080986445,2055.5385190391544,1.6062096636042298,131,1.4557396486808531,0.8749556327890625,241,-0.4515316395681727,-0.2244773385656493,305,0.7521400312797799,0.3273342581785995,197,-1.3825895764939538,-0.9777914627967773,28,-0.0899385404086334,1.2995886039876106,264,0.12410332779026068,0.06874898461465934
79,True,38,-1319.212269439326,2885.5712417205173,1.1406013956825887,144,1.375369858196876,1.0255460716878408,238,-0.5716913539517714,-0.31346417129046866,143,0.9616234044668547,0.4390297793257757,149,-1.313923899483266,-1.227717581516991,62,0.32031217620834884,1.4372351448805354,430,0.1517580671368839,0.09379523122494404
